# Data from Table 1 of Vladilo et al. (2001), ApJ 557, 1007
logNHI, logNHI_err, Al32, Al32_err
21.41, 0.08, -1.12, 0.20
21.40, 0.05, -1.45, 0.25
20.50, 0.10, -0.38, 0.11
20.38, 0.04, -0.53, 0.17
20.00, 0.18, -0.26, 0.21
20.45, 0.16, -0.29, 0.22
20.70, 0.08, -1.07, 0.20
20.95, 0.09, -1.21, 0.21
20.85, 0.01, -0.90, 0.21
20.95, 0.07, -0.84, 0.17
21.18, 0.04, -0.88, 0.19
20.80, 0.10, -0.49, 0.24
20.65, 0.10, -0.51, 0.28
20.85, 0.08, -0.64, 0.26
20.56, 0.10, -0.69, 0.19
20.56, 0.08, -0.70, 0.08
20.70, 0.10, -1.11, 0.24
20.30, 0.10, -0.20, 0.03
